Shot Type,ALLEN,MOBLEY,LEVERT,GARLAND,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,3,3,1,0,4,6,6,0,0,0,0,1
shoot2FGM,1,0,1,0,0,3,4,0,0,0,0,1
shoot2FTA,0,0,0,0,0,3,1,2,0,0,0,1
shoot2FTM,0,0,0,0,0,3,1,2,0,0,0,1
shoot2TO,0,0,0,0,0,0,1,0,0,0,0,0
shoot3FGA,0,1,1,1,0,2,2,0,1,2,0,0
shoot3FGM,0,1,1,1,0,1,0,0,0,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,1,0,0,0,0,0,0,0
pass2FGA,0,0,0,0,1,1,0,0,0,0,0,0
pass2FGM,0,0,0,0,1,0,0,0,0,0,0,0
pass2FTA,0,2,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,1,0,0,0,0,0
pass2TO,0,0,0,0,0,1,0,0,0,0,0,0
pass3FGA,1,0,0,0,0,2,2,1,0,0,0,0
pass3FGM,0,0,0,0,0,0,1,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
